Gene	B cells	CD4 Naive	CD4 Memory	CD8 Naive	CD8 Memory	CD8 Effector	Treg cell	Th cell	Monocytes CD16	Monocytes CD14	DC	pDC	NK	Plasma
HCST	143.958296769345	1002.63266325102	1114.43476778242	1393.59019300677	2030.9027022767	3317.45619811693	1085.3675285624	993.697971769521	1543.95963553538	714.492518892967	865.736370619406	1081.40458943094	4181.80129997592	866.620963248371
HOPX	36.2753478844478	7.83836081957702	48.874524116551	11.4134743581101	228.118812147812	153.319541165718	23.6112978865063	26.7903465517847	3.56802611030826	5.37378242219123	4.03848542866844	8.0153110195889	667.798685036537	13.3527092255285
IFITM2	896.149765692694	981.30765545938	1288.05942879375	807.534727926417	1348.70446410279	1611.43646572635	962.058784622124	1128.8826231896	1161.79069664247	7009.4645345536	1608.31265390597	674.251522507352	3390.42857469904	427.214319410172
IGFBP7	5.09380617547316	4.33729036218312	4.76024321034623	2.26199083419369	2.23620667338855	5.76179932322292	0.189440256921617	2.10112406894989	101.307418876559	46.3216987314478	188.304676385962	16.3619451444655	789.92899053011	6.0200955953726
IL2RB	1.00534811690136	3.5620211167868	6.63652527342821	6.51430187986976	12.4577248013457	18.5394052796087	14.2778677999833	4.67838998808708	1.2326258464299	1.32277644985826	1.55078375435987	1.14875496143843	132.401037816421	2.65509035510071
KLRD1	0.976371946855361	1.15833392931818	2.48336052133739	2.62012842763847	31.7953178039517	61.4517396106384	0.358021610487661	0.285408183869813	1.3879324154624	0.81648599646473	1.04736149469632	0	214.996992636337	1.71689156503452
KLRF1	3.95261496480003	2.45137570674985	1.20006526454739	1.41962686013147	0.463389956603695	17.2984417166572	0.37162315361928	0.82207912958042	1.85995994402861	2.14371920744232	1.63933142944985	6.63663620009661	291.332694233213	0
LLGL2	1.00385321550965	1.0048411066233	1.25755868925956	0.32900469103772	1.52019049543837	4.94705632035275	1.80755216347357	1.1065132359299	0.402561335643895	1.24888982569602	0.317583756672466	5.39795920163815	9.86685494611292	1.36873681283619
LPCAT1	8.62728018062529	3.02710463720425	2.60786672876271	2.08598266024959	6.12571943325193	22.343422984741	2.94269356676442	2.46148613002836	6.6507856360325	11.5390356435179	2.65502990688992	6.50074516565332	38.6730756093626	4.1901399509434
LTB	4353.70879486953	3117.07713402085	4814.96796873834	1930.85472177085	2832.33031351955	792.640821859465	5095.20191917287	5515.28810937322	154.408341267203	597.920689551241	315.733846458575	2170.71848563391	434.146773954368	191.145138891604
